"placette","div_DMH","density_CV21","density_CV22","density_CV25","density_CV31","density_CV44","density_DE11","density_DE12","density_DE13","density_EP22","density_EX11","density_GR12","density_IN11","density_IN13","density_IN14","density_IN21","density_SE11","density_SE32","density_CV11","density_CV12","density_CV14","density_CV41","density_DE10","density_IN22","density_IN23","density_CV13","density_EP21","density_GR21","density_SE13","density_SE21","density_CV23","density_CV42","density_GR22","density_SE22","density_EP23","density_EP11","density_CV24","density_CV26","density_SE12","GR11","SE14","ouverture_pc","encombrement_arbust","encombrement_arbo","coef_Gini","BMS_Wagner.m3ha"
"V_169",15,0,24.7574355920726,0,0,14.1471060526129,141.471060526129,17.6838825657662,7.07355302630646,0,0,3.53677651315323,7.07355302630646,0,3.53677651315323,0,24.7574355920726,0,0,7.07355302630646,0,0,3.53677651315323,0,0,0,3.53677651315323,3.53677651315323,17.6838825657662,0,0,0,0,0,0,0,0,0,7.07355302630646,0,0,14.04,0.125,0.625,0.123010148884653,3.85531421917553
"V_179",20,7.07355302630646,17.6838825657662,0,38.9045416446855,24.7574355920726,137.934284012976,53.0516476972984,3.53677651315323,0,0,0,10.6103295394597,14.1471060526129,21.2206590789194,0,10.6103295394597,3.53677651315323,0,0,0,3.53677651315323,0,0,7.07355302630646,0,3.53677651315323,0,0,3.53677651315323,7.07355302630646,0,0,3.53677651315323,0,7.07355302630646,0,0,3.53677651315323,0,0,45.11,0,0.125,0.201199671322925,14.9072149808121
"V_22",18,14.1471060526129,45.978094670992,3.53677651315323,7.07355302630646,3.53677651315323,300.626003618025,38.9045416446855,7.07355302630646,0,0,3.53677651315323,10.6103295394597,28.2942121052258,10.6103295394597,7.07355302630646,21.2206590789194,7.07355302630646,0,3.53677651315323,0,0,0,0,7.07355302630646,0,0,0,0,0,0,0,0,0,0,0,3.53677651315323,0,0,0,0,17.03,0.125,0.875,0.152760201355494,20.5616758356028
"V_236",24,3.53677651315323,42.4413181578388,0,28.2942121052258,49.5148711841452,190.985931710274,24.7574355920726,17.6838825657662,3.53677651315323,0,28.2942121052258,3.53677651315323,7.07355302630646,0,7.07355302630646,88.4194128288307,0,7.07355302630646,3.53677651315323,3.53677651315323,0,14.1471060526129,0,10.6103295394597,0,14.1471060526129,3.53677651315323,0,3.53677651315323,0,3.53677651315323,0,0,0,17.6838825657662,3.53677651315323,0,0,0,0,9.49,0.375,1,0.314674453280318,16.1923197205372
"V_249",12,0,3.53677651315323,0,10.6103295394597,3.53677651315323,49.5148711841452,17.6838825657662,0,0,0,0,7.07355302630646,0,0,3.53677651315323,17.6838825657662,0,0,0,0,0,14.1471060526129,0,0,0,0,0,0,0,3.53677651315323,0,0,0,3.53677651315323,3.53677651315323,0,0,0,0,0,21.06,0.25,0.625,0.194691244239631,7.9676493862961
"V_270",15,0,7.07355302630646,0,7.07355302630646,7.07355302630646,180.375602170815,7.07355302630646,0,0,3.53677651315323,3.53677651315323,0,24.7574355920726,7.07355302630646,0,14.1471060526129,0,0,0,3.53677651315323,0,7.07355302630646,0,0,0,0,0,0,14.1471060526129,0,7.07355302630646,0,0,0,7.07355302630646,0,0,0,0,0,7.93,0,0.875,0.125929229854297,8.22467033424113
"V_290",9,0,7.07355302630646,3.53677651315323,3.53677651315323,7.07355302630646,70.7355302630646,3.53677651315323,0,0,0,0,0,0,0,0,3.53677651315323,0,0,0,0,0,0,0,0,0,0,0,17.6838825657662,0,0,0,0,0,0,0,0,3.53677651315323,0,0,0,21.45,0,0.625,0.170885668276973,2.57020947945035
"V_63",16,0,38.9045416446855,0,3.53677651315323,24.7574355920726,367.824757367936,0,0,3.53677651315323,0,28.2942121052258,0,3.53677651315323,3.53677651315323,0,176.838825657661,0,0,0,0,0,3.53677651315323,0,0,0,7.07355302630646,0,31.8309886183791,3.53677651315323,0,3.53677651315323,0,0,3.53677651315323,0,0,0,3.53677651315323,0,0,0.65,0.875,1,0.104058336121553,8.48169128218617
"V_71",29,3.53677651315323,38.9045416446855,3.53677651315323,21.2206590789194,7.07355302630646,152.081390065589,49.5148711841452,3.53677651315323,3.53677651315323,3.53677651315323,24.7574355920726,17.6838825657662,17.6838825657662,3.53677651315323,3.53677651315323,24.7574355920726,7.07355302630646,0,10.6103295394597,3.53677651315323,3.53677651315323,3.53677651315323,0,3.53677651315323,0,0,0,7.07355302630646,0,21.2206590789194,10.6103295394597,0,0,0,35.3677651315323,0,0,28.2942121052258,1,1,22.88,0.375,0.75,0.258770500705985,18.2484873040975
"V_81",11,0,0,0,14.1471060526129,0,311.236333157484,0,7.07355302630646,0,0,31.8309886183791,3.53677651315323,14.1471060526129,0,0,109.64007190775,3.53677651315323,0,0,3.53677651315323,0,0,0,0,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,10.6103295394597,0,0,4.03,1,0.875,0.133162437052743,7.9676493862961
