"id_arbre";"DBH_BMP";"id_branche";"diam_BMP.cm";"diam_BMP.m";"long_BMP.m";"sd_saprox_BMP";"H_BMP.m";"Rq";"massif";"plot";"num_arbre";"sp";"note_DEPERIS";"H_bas_houppier.m";"L_houppier.m";"DBH.cm";"H_arbre.m";"f_elancement";"note_DEPERIS_simpl";"vol.m2";"strate_BMP"
"T_19_1";102;2;5;0.05;2;2;36;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.00392699081698724;"h3"
"T_19_1";102;3;15;0.15;1;2;33;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.0176714586764426;"h2"
"T_19_1";102;4;15;0.15;1;3;27.5;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.0176714586764426;"h1"
"T_19_1";102;5;10;0.1;2;4;19;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.015707963267949;"2t"
"T_19_1";102;6;15;0.15;1;3;24;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.0176714586764426;"h1"
"T_19_1";102;7;5;0.05;4;4;25;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.00785398163397448;"h1"
"T_19_1";102;8;10;0.1;4;3;30;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.0314159265358979;"h2"
"T_19_2";72;1;15;0.15;2;4;35;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.0353429173528852;"h3"
"T_19_2";72;2;10;0.1;1;3;37;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.00785398163397448;"h3"
"T_19_2";72;3;10;0.1;1;3;38;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.00785398163397448;"h3"
"T_19_2";72;4;10;0.1;2;3;21;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.015707963267949;"h1"
"T_19_2";72;5;15;0.15;3;3;25.5;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.0530143760293278;"h2"
"T_19_2";72;6;10;0.1;3;3;26;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.0235619449019235;"h2"
"T_19_2";72;7;10;0.1;1;3;36;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.00785398163397448;"h3"
"T_19_2";72;8;20;0.2;1;2;38;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.0314159265358979;"h3"
"T_19_2";72;9;10;0.1;1;3;38;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.00785398163397448;"h3"
"T_19_2";72;10;10;0.1;2;3;36;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.015707963267949;"h3"
"T_19_2";72;11;10;0.1;1;3;28.5;"";"Troncais";19;2;"Quercus_petraea";"E";15.5;28.5;72;44;61.1111111111111;"deperissant";0.00785398163397448;"h2"
