id_arbre;DBH_BMP;id_branche;diam_BMP.cm;diam_BMP.m;long_BMP.m;sd_saprox_BMP;H_BMP.m;Rq
T_368_2;63;11;10;0.1;7;2;24;
T_368_2;63;12;5;0.05;11;2;29;
T_368_3;68;1;10;0.1;2;4;11;
T_368_3;68;2;10;0.1;2;4;20;
T_368_3;68;3;5;0.05;1;1;22;
T_368_3;68;4;5;0.05;3;2;27;
T_368_3;68;5;5;0.05;1;3;32;
T_368_4;95;1;5;0.05;8;3;14;
T_368_4;95;2;5;0.05;4;4;19;
T_368_4;95;3;15;0.15;1;2;25;vestige charpentier diam 20
T_368_4;95;4;15;0.15;1;2;25;
T_368_4;95;5;5;0.05;1;2;28;
T_368_4;95;6;10;0.1;8;3;22;
T_368_4;95;7;5;0.05;2;2;30;
T_368_4;95;8;5;0.05;5;3;20;
T_368_4;95;9;10;0.1;5;2;23;
T_368_4;95;10;5;0.05;1;1;28;
T_413_1;94;1;5;0.05;1;4;11;
T_413_1;94;2;10;0.1;3;3;12.5;
T_413_1;94;3;10;0.1;2;2;23;
T_413_1;94;4;5;0.05;2;1;27;
T_413_1;94;5;5;0.05;1;2;25.5;
T_413_2;81;1;5;0.05;1;3;18;perche
T_413_2;81;2;5;0.05;3;2;22;
T_413_2;81;3;15;0.15;10;3;13;perche
T_413_2;81;4;10;0.1;12;3;17;
T_413_2;81;5;5;0.05;1;4;20;
T_413_2;81;6;5;0.05;2;2;20;
T_413_2;81;7;15;0.15;1;2;22;
T_413_2;81;8;5;0.05;1;3;20;
T_413_2;81;9;5;0.05;2;3;24;
T_413_2;81;10;10;0.1;1;2;23;
T_413_2;81;11;10;0.1;2;2;23;
T_413_2;81;12;10;0.1;3;1;27;
T_413_2;81;13;5;0.05;1;2;26;
T_413_3;56;1;10;0.1;3;4;20;
T_413_3;56;2;5;0.05;1;2;22.5;
T_413_3;56;3;5;0.05;3;3;23.5;
T_413_3;56;4;10;0.1;6;3;17;
T_413_3;56;5;5;0.05;1;2;24;
T_413_4;63;1;5;0.05;3;3;15;
T_413_4;63;2;5;0.05;2;3;15;
T_413_4;63;3;5;0.05;1;3;15;
T_413_4;63;4;5;0.05;3;4;15;
T_413_4;63;5;5;0.05;3;4;19;
T_413_4;63;6;5;0.05;1;4;20;
T_413_4;63;7;5;0.05;6;3;23;
T_413_4;63;8;10;0.1;3;2;24;
T_413_4;63;9;10;0.1;1;2;26;
T_413_4;63;10;5;0.05;1;3;25;
T_43_1;82;1;5;0.05;2;4;19;
T_43_1;82;2;15;0.15;1;4;20.5;
T_43_1;82;3;5;0.05;2;4;22.5;
T_43_1;82;4;10;0.1;1;3;28;
T_43_1;82;5;5;0.05;1;3;30;
T_43_1;82;6;10;0.1;1;3;30;
T_43_1;82;7;5;0.05;1;4;25;
T_43_2;77;1;15;0.15;10;4;18;
T_43_2;77;2;15;0.15;12;3;21.5;
T_43_2;77;3;5;0.05;1;3;28;
