Y;Effect;etat_sanitaire;Groupe.var;pval (originale);pval;Comparaison;Estimate;p-value;Significance
ab.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_LC;;;
ab.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_BC;;;
ab.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;LC_BC;;;
sr.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_UC;;;
sr.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_LC;;;
sr.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_BC;;;
sr.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_LC;;;
sr.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_BC;;;
sr.lig;Stratum effect;sain;Microhabitat Larvae Guilds;;;LC_BC;;;
ab.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;AC_UC;;;
ab.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;AC_LC;;;
ab.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;AC_BC;;;
ab.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;UC_LC;;;
ab.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;UC_BC;;;
ab.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;LC_BC;;;
sr.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;AC_UC;;;
sr.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;AC_LC;;;
sr.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;AC_BC;;;
sr.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;UC_LC;;;
sr.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;UC_BC;;;
sr.xyl;Stratum effect;sain;Trophic Larvae Guilds;;;LC_BC;;;
ab.colsxrsx;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_UC;;;
ab.colsxrsx;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_LC;;;
ab.colsxrsx;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_BC;;;
ab.colsxrsx;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_LC;;;
ab.colsxrsx;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_BC;;;
ab.colsxrsx;Stratum effect;sain;Microhabitat Larvae Guilds;;;LC_BC;;;
sr.colsxsrx;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_UC;;;
sr.colsxsrx;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_LC;;;
sr.colsxsrx;Stratum effect;sain;Microhabitat Larvae Guilds;;;AC_BC;;;
sr.colsxsrx;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_LC;;;
sr.colsxsrx;Stratum effect;sain;Microhabitat Larvae Guilds;;;UC_BC;;;
sr.colsxsrx;Stratum effect;sain;Microhabitat Larvae Guilds;;;LC_BC;;;
ab.colsx;Stratum effect;deperissant;General;N.S;N.S;AC_UC;;;N.S
ab.colsx;Stratum effect;deperissant;General;N.S;N.S;AC_LC;;;N.S
ab.colsx;Stratum effect;deperissant;General;N.S;N.S;AC_BC;;;N.S
ab.colsx;Stratum effect;deperissant;General;N.S;N.S;UC_LC;;;N.S
ab.colsx;Stratum effect;deperissant;General;N.S;N.S;UC_BC;;;N.S
ab.colsx;Stratum effect;deperissant;General;N.S;N.S;LC_BC;;;N.S
sr.colsx;Stratum effect;deperissant;General;N.S;N.S;AC_UC;;;N.S
sr.colsx;Stratum effect;deperissant;General;N.S;N.S;AC_LC;;;N.S
sr.colsx;Stratum effect;deperissant;General;N.S;N.S;AC_BC;;;N.S
sr.colsx;Stratum effect;deperissant;General;N.S;N.S;UC_LC;;;N.S
sr.colsx;Stratum effect;deperissant;General;N.S;N.S;UC_BC;;;N.S
sr.colsx;Stratum effect;deperissant;General;N.S;N.S;LC_BC;;;N.S
ab.colsxrar;Stratum effect;deperissant;General;< 0,001;< 0,001;AC_UC;-0.6129;0.0258 * ;N.S
ab.colsxrar;Stratum effect;deperissant;General;< 0,001;< 0,001;AC_LC;-0.1225 ;0.9496    ;N.S
ab.colsxrar;Stratum effect;deperissant;General;< 0,001;< 0,001;AC_BC;1.1078     ;< 0.001 ***;***
ab.colsxrar;Stratum effect;deperissant;General;< 0,001;< 0,001;UC_LC;0.4905     ;0.1124;N.S
