"x"
"766";747.5
"767";1568.5
"768";210
"769";551
"770";422
"771";2742
"772";1479
"773";421
"774";954
"775";1550
"776";2124
"777";209
"778";736
"779";1300
"780";1673
"781";2273
"782";2303
"783";1764
"784";1935
"785";2150
"786";2507.5
"787";979
"788";1087
"789";768
"790";760.5
"791";2395
"792";1358
"793";754
"794";1814
"795";1795
"796";2623
"797";954
"798";364
"799";2897
"800";2296
"801";1882.5
"802";2581
"803";1068
"804";1614.5
"805";1088.5
"806";455
"807";1779.5
"808";887
"809";1079
"810";1143.5
"811";1948
"812";1361
"813";312
"814";625.5
"815";1885
"816";526
"817";636
"818";1156
"819";2651
"820";1628
"821";244
"822";183
"823";1798
"824";1474
"825";690
"826";40
"827";1223
"828";1148
"829";329.5
"830";71
"831";2135
"832";1011
"833";567
"834";304
"835";1942
"836";1079
"837";1037
"838";361
"839";2777
"840";1668
"841";392
"842";354
"843";2554
"844";2951
"845";1573
"846";697.5
"847";1873
"848";2120
"849";2439
"850";2255
"851";2576.5
"852";3065
"853";2359
"854";2869.5
"855";1062
"856";2194.5
"857";1763
"858";643
"859";2046
"860";2529
"861";921.5
"862";1045.5
"863";2681
"864";3116.5
"865";896
"866";1420
"867";3123
"868";2938
"869";2661
"870";2361
"871";1050
"872";2922
"873";1652
"874";1095
"875";2839
"876";1624
"877";1222
"878";980
"879";2546
"880";2209
"881";650.5
"882";657
"883";1342
"884";2145
"885";2653
"886";66
"887";432
"888";1900
"889";1967
"890";19
"891";373
"892";1138
"893";1604.5
"894";21
"895";325
"896";1735
"897";1191
"898";23
"899";533
"900";1076
"901";2396
"902";28
"903";1101
"904";2625
"905";1946
"906";349
"907";728
"908";1335
"909";2279
"910";134
"911";1465.5
"912";1421
"913";2057
"914";212
"915";1953
"916";3044
"917";2789
"918";90
"919";898
"920";2969
"921";3097
"922";238
"923";519
"924";2024
"925";2537
"926";1482
"927";954
"928";2466
"929";2931
"930";221
"931";1680
"932";2226
"933";1797
"934";2200
"935";2408
"936";2726
"937";3055
"938";258
"939";443
"940";2337.5
"941";1200
"942";528
"943";1677
"944";2802.5
"945";2835
"946";321
"947";508
"948";1669
"949";2325
"950";609
"951";1687
"952";1504
"953";415.5
"954";507
"955";924
"956";1713
"957";457
"958";915
"959";689
"960";1093
"961";262
"962";437
"963";409
"964";1442
"965";222
"966";803
"967";781
"968";1171
"969";419
"970";873
"971";435.5
"972";2461.5
"973";818
"974";1167
"975";1743
"976";2017
"977";2438
"978";1195
"979";1251
"980";1451
"981";1632
"982";2618
"983";2540
"984";1835
"985";1755
"986";1364
"987";2378
"988";649
"989";1246
"990";1849
"991";1363
"992";1641
"993";920
"994";1241
"995";1566
"996";1739
"997";2246
"998";1232
"999";1032
"1000";2984
"1001";2173.5
"1002";2598
"1003";2829
"1004";743
"1005";1924
"1006";1390.5
"1007";1205
"1008";2527
"1009";1279
"1010";1766
"1011";1619
"1012";2038.5
"1013";1418.5
"1014";717
"1015";1183
"1016";109
"1017";2368
"1018";1231
"1019";654
"1020";1028.5
"1021";2352
"1022";1751
"1023";1262
"1024";695
"1025";2079.5
"1026";1634
"1027";757
"1028";485
"1029";1874.5
"1030";1509
"1031";1124
"1032";363
"1033";1878
"1034";1459
"1035";579
"1036";849.5
"1037";2259
"1038";2313
"1039";1280
"1040";1229.5
"1041";2068
"1042";2765
"1043";975
"1044";628
"1045";1820
"1046";1792
"1047";1815
"1048";2030
"1049";2398
"1050";2304
"1051";766.5
"1052";1367
"1053";1831.5
"1054";2847
"1055";2235
"1056";1374
"1057";2792
"1058";2085.5
"1059";736
"1060";610.5
"1061";2517
"1062";2916
"1063";921.5
"1064";281
"1065";2967
"1066";2482
"1067";2167.5
"1068";1936
"1069";1326.5
"1070";2954
"1071";1411
"1072";994
"1073";2913
"1074";1905.5
"1075";1169
"1076";1090
"1077";2192
"1078";2662
"1079";996
"1080";736
"1081";2551.5
"1082";2042
"1083";317
"1084";827
"1085";2679
"1086";2002
"1087";878
"1088";598
"1089";2542
"1090";1465.5
"1091";713
"1092";603.5
"1093";1887
"1094";1597
"1095";1048
"1096";178
"1097";2548.5
"1098";1621
"1099";491
"1100";493
"1101";2633
"1102";2357
"1103";1227
"1104";613.5
"1105";2594
"1106";2988
"1107";1827
"1108";1318
"1109";2697
"1110";2070
"1111";2047
"1112";2278
"1113";2680
"1114";2334
"1115";954
"1116";1612
"1117";2600
"1118";3008
"1119";2349
"1120";1158
"1121";2738
"1122";2489
"1123";1130
"1124";820
"1125";2670
"1126";2979
"1127";841
"1128";374.5
"1129";3081
"1130";2425
"1131";2197
"1132";1992
"1133";2103.5
"1134";2889
"1135";2083.5
"1136";838
"1137";3013
"1138";2267
"1139";1117.5
"1140";715
"1141";2179
"1142";2669
"1143";1443
"1144";1684.5
"1145";176
"1146";2315
"1147";1778
"1148";113
"1149";634
"1150";1174
"1151";2475
"1152";132
"1153";187
"1154";2292
"1155";2026.5
"1156";53
"1157";684
"1158";1728
"1159";2648
"1160";73
"1161";882
"1162";2335
"1163";2993
"1164";311
"1165";412.5
"1166";1684.5
"1167";1863
"1168";313
"1169";1219
"1170";1601
"1171";2586
"1172";720.5
"1173";2049
"1174";3144
"1175";3135
"1176";368
"1177";352
"1178";3112
"1179";3145
"1180";655
"1181";923
"1182";2379
"1183";2910
"1184";1625.5
"1185";444
"1186";2333
"1187";2987
"1188";529
