id.trap	massif	num.releve	num.tree2	num.trap	Parcelle	strate	id.trap.releve	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	id.trap.releve
Troncais43	Troncais	R2	4	3	207	intra.inf	Troncais43R2	31	18	2	2	26	14	7	5	8	5	0	0	1	1	26	15	9	7	5	3	2	1	13	4	5	5	7	6	1	1	2.304193548	1.570967742	2.509677419	5.616129032	0.813791959	0.520292108	0.845123381	0.586949411	Troncais43R2
Troncais43	Troncais	R3	4	3	207	intra.inf	Troncais43R3	32	16	1	1	13	12	3	2	23	7	2	2	2	1	29	13	2	2	3	2	20	5	3	3	4	4	3	3	1	1	2.0753125	1.7875	2.783125	3.378125	0.593649975	0.478355598	0.552186761	0.386502177	Troncais43R3
Troncais43	Troncais	R4	4	3	207	intra.inf	Troncais43R4	16	13	6	3	8	8	1	1	4	4	1	1	0	0	14	11	1	1	0	0	4	4	4	3	7	5	0	0	1	1	2.684375	1.478125	2.703125	5.16875	0.778476058	0.865010616	0.66368601	0.552040969	Troncais43R4
Troncais43	Troncais	R5	4	3	207	intra.inf	Troncais43R5	28	8	0	0	28	8	0	0	21	3	1	1	0	0	26	6	0	0	0	0	1	1	22	3	4	3	0	0	1	1	2.175357143	1.538214286	2.201785714	3.071428571	0.408138816	0.275476025	0.384821789	0.136142779	Troncais43R5
Troncais44	Troncais	R1	4	4	207	infra	Troncais44R1	32	20	4	1	19	16	7	5	18	11	2	1	1	1	28	18	12	6	2	1	13	7	2	2	8	6	7	4	0	0	2.1778125	1.6953125	2.884375	3.10625	0.442119858	0.636940877	0.68999642	0.192365765	Troncais44R1
Troncais44	Troncais	R2	4	4	207	infra	Troncais44R2	18	10	3	1	11	7	5	3	8	5	0	0	1	1	15	9	3	1	3	1	5	3	4	2	1	1	8	4	3	1	2.616666667	1.925	2.778333333	4.977777778	0.855644173	0.699151264	0.667253762	0.647882756	Troncais44R2
Troncais44	Troncais	R3	4	4	207	infra	Troncais44R3	55	29	2	1	44	25	7	6	27	14	2	1	0	0	50	26	6	4	3	2	14	7	19	8	10	6	11	7	2	1	2.371272727	1.645454545	2.617818182	4.316363636	0.599399142	0.623235793	0.710610351	0.454719075	Troncais44R3
Troncais44	Troncais	R4	4	4	207	infra	Troncais44R4	29	16	3	2	23	13	1	1	14	6	0	0	0	0	29	16	1	1	0	0	5	3	16	8	7	4	1	1	0	0	2.39137931	1.502413793	2.339655172	3.744827586	0.632115225	0.360574811	0.589482149	0.36329563	Troncais44R4
Troncais44	Troncais	R5	4	4	207	infra	Troncais44R5	20	12	2	2	16	8	3	3	12	5	0	0	0	0	20	12	0	0	0	0	3	3	12	4	4	4	1	1	0	0	2.305	1.5685	2.4995	3.57	0.516630429	0.442280401	0.788049391	0.336115576	Troncais44R5
Troncais51	Troncais	R1	5	1	315	supra	Troncais51R1	33	13	8	2	24	10	10	5	6	5	0	0	0	0	32	12	27	9	1	1	1	1	5	3	10	5	16	3	0	0	1.96030303	1.389393939	3.231818182	4.203030303	0.415730702	0.45691513	0.602452422	0.218235551	Troncais51R1
