LOCA	parcelle	num.tree2	num.trap	id.trap	strate	prop.trap.season	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	ab.colsxrsx	sr.colsxrsx
Troncais	43	2	3	Troncais23	intra.inf	0.780396478	176	52	11	5	127	43	37	16	75	21	5	4	2	2	160	44	25	11	10	3	54	9	74	14	20	14	20	12	1	1	2.008068182	1.673465909	2.546193182	3.571590909	0.681952731	0.669063425	0.774972128	0.288856502	0	0
Troncais	43	2	4	Troncais24	infra 	0.933181196	112	50	2	2	87	44	27	17	67	25	8	5	2	2	97	41	16	12	8	5	43	15	36	10	15	12	12	10	3	3	2.309910714	1.646875	2.607321429	3.44375	0.549539536	0.55614578	0.809220936	0.345462302	0	0
Troncais	118	3	1	Troncais31	supra 	1	294	56	14	5	226	45	39	9	138	19	15	2	0	0	267	52	59	16	13	3	115	10	111	20	25	10	30	13	2	1	2.247653061	1.517346939	2.522108844	3.946258503	0.481890648	0.421718375	0.717083287	0.388324737	0	0
Troncais	118	3	2	Troncais32	intra.sup	1	469	83	58	14	296	64	54	17	120	18	22	6	6	3	440	75	68	21	8	3	97	11	177	23	76	26	108	19	1	1	2.191002132	1.472707889	2.400319829	5.612153518	0.665640696	0.471698305	0.663558936	0.662068499	0	0
Troncais	118	3	3	Troncais33	intra.inf	1	201	66	26	10	99	52	33	14	101	23	3	2	0	0	185	60	38	17	13	4	78	10	35	13	45	23	36	17	8	3	2.265373134	1.645522388	2.675870647	4.306965174	0.64721733	0.659567397	0.633355935	0.502471585	0	0
Troncais	118	3	4	Troncais34	infra 	1	117	46	4	4	71	37	24	10	66	17	4	4	0	0	108	39	17	12	5	3	56	13	19	9	29	16	10	7	1	1	2.158547009	1.716837607	2.777521368	3.828205128	0.509289753	0.646491275	0.667195693	0.406511779	0	0
Troncais	207	4	1	Troncais41	supra 	1	299	68	18	7	249	56	94	16	159	22	19	3	3	3	275	63	79	19	8	5	141	10	64	23	51	15	33	13	1	1	2.194949833	1.656020067	2.752441472	4.324414716	0.473471077	0.801322338	0.731293593	0.404758443	3	3
Troncais	207	4	2	Troncais42	intra.sup	0.894842216	153	53	22	10	93	39	17	8	79	19	8	5	1	1	142	46	14	10	3	2	53	11	47	17	41	16	10	8	0	0	2.004183007	1.542614379	2.51869281	5.494117647	0.587205701	0.68299426	0.568838016	0.622742054	0	0
Troncais	207	4	3	Troncais43	intra.inf	1	124	52	9	5	88	42	13	8	64	19	5	5	3	2	109	42	16	12	10	5	32	10	47	11	23	18	14	9	5	3	2.279758065	1.611451613	2.562580645	4.089516129	0.681512791	0.587041103	0.694705512	0.41834563	0	0
Troncais	207	4	4	Troncais44	infra 	1	154	61	14	6	113	51	23	15	79	24	4	2	2	1	142	57	22	9	8	2	40	14	53	12	30	20	28	14	5	1	2.354935065	1.651558442	2.624220779	3.937662338	0.607140089	0.65084146	0.742481433	0.389623958	0	0
